Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
CNQ_WQ4_WIND,1,0.0,0.0,3800.0,3800.0
CNQ_WQ3_WIND,1,0.0,0.0,2985.0860308411416,5500.0
GG_WQ6_WIND,2,0.0,264.6494278212134,264.6494278212134,3500.0
SQ_WQ8_WIND,3,625.88,5413.349417885851,8618.291957107644,9000.0
NNSW_WN2_WIND,4,270.0,1298.6195548816168,6416.549747429406,7400.0
CNSW_WN3_WIND,5,723.52,6971.801779648485,8000.0,8000.0
SNW_WN9_WIND,6,0.0,1600.0,1600.0,1600.0
SNSW_WACT_WIND,7,1588.21,3000.0,3000.0,3000.0
VIC_WV3_WIND,8,2360.0,2360.0,2600.0,2600.0
VIC_WV4_WIND,8,2000.0,3885.7822221912556,4322.201743480156,4500.0
VIC_WV5_WIND,8,0.0,2000.0,2000.0,2000.0
VIC_WV7_WIND,8,0.0,0.0,0.0,2712.409156516665
SA_WS1_WIND,9,392.2932876,392.2932876,392.2932876,1100.0
SA_WS3_WIND,9,1801.322991,1801.322991,4600.0,4600.0
SA_WS4_WIND,9,566.3837214,566.3837214,566.3837214,800.0
TAS_WT1_WIND,10,168.0,168.0,168.0,600.0
TAS_WT2_WIND,10,393.6,393.6,538.3749592676598,800.0
TAS_WT3_WIND,10,0.0,928.667408159783,2300.0,2300.0
CNQ_BATTERY,1,52.0,52.0,52.0,1208.7504589008117
GG_BATTERY,2,0.0,0.0,10.645544197958355,258.7311457870566
SQ_BATTERY,3,200.0,200.0,553.4403904045456,7485.658656730005
NNSW_BATTERY,4,0.0,0.0,0.0,4297.704122655795
CNSW_BATTERY,5,0.0,0.0,0.0,0.0
SNW_BATTERY,6,50.0,50.0,447.5937289317326,1875.751909799864
SNSW_BATTERY,7,310.32,310.32,310.32,310.32
VIC_BATTERY,8,580.4,580.4,580.4,1192.8639382098481
SA_BATTERY,9,512.43,512.43,512.43,3097.0861701745625
TAS_BATTERY,10,0.0,0.0,0.0,0.0
CNQ_PH,1,0.0,0.0,0.0,2708.1765880307903
GG_PH,2,0.0,0.0,0.0,0.0
SQ_PH,3,570.0,570.0,1713.7515272134794,2000.0
NNSW_PH,4,0.0,0.0,577.7673158916557,2250.0
CNSW_PH,5,0.0,0.0,842.6476067501617,1213.614350176513
SNW_PH,6,0.0,0.0,0.0,0.0
SNSW_PH,7,250.0,371.60636955186254,685.2210650460283,685.2210650460283
VIC_PH,8,0.0,0.0,0.0,534.143732529562
SA_PH,9,0.0,0.0,900.0,900.0
TAS_PH,10,0.0,0.0,0.0,0.0
CNQ_PH_NEW,1,0.0,0.0,250.0,250.0
SNSW_PH_SNOWY,7,0.0,0.0,2040.0,2040.0
TAS_PH_NEW,10,0.0,0.0,2750.0,2750.0
Total,n/a,62224.57531539,95326.43921122797,143560.65642009283,210921.5632788955
